models/RNTN_wvecDim_30_step_5e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 325 : Cost=33.6725, ExpCost=32.3189.
Iter 326 : Cost=32.8138, ExpCost=32.3238.
Iter 327 : Cost=27.2154, ExpCost=32.2728.
Iter 328 : Cost=35.9325, ExpCost=32.3094.
Iter 329 : Cost=30.2151, ExpCost=32.2884.
Iter 330 : Cost=27.4616, ExpCost=32.2401.
Iter 331 : Cost=30.3322, ExpCost=32.2211.
Iter 332 : Cost=30.0377, ExpCost=32.1992.
Iter 333 : Cost=30.3885, ExpCost=32.1811.
Iter 334 : Cost=26.4643, ExpCost=32.1240.
Iter 335 : Cost=31.1089, ExpCost=32.1138.
Iter 336 : Cost=30.0764, ExpCost=32.0934.
Iter 337 : Cost=30.4700, ExpCost=32.0772.
Iter 338 : Cost=25.9325, ExpCost=32.0158.
Iter 339 : Cost=28.2605, ExpCost=31.9782.
Iter 340 : Cost=32.3036, ExpCost=31.9815.
Iter 341 : Cost=30.6548, ExpCost=31.9682.
Iter 342 : Cost=31.2840, ExpCost=31.9613.
Iter 343 : Cost=32.1160, ExpCost=31.9629.
Iter 344 : Cost=29.4380, ExpCost=31.9376.
Iter 345 : Cost=30.9860, ExpCost=31.9281.
Iter 346 : Cost=32.2523, ExpCost=31.9314.
Iter 347 : Cost=29.4745, ExpCost=31.9068.
Iter 348 : Cost=32.9877, ExpCost=31.9176.
Iter 349 : Cost=27.1620, ExpCost=31.8701.
Iter 350 : Cost=22.8109, ExpCost=31.7795.
Iter 351 : Cost=29.0953, ExpCost=31.7526.
Iter 352 : Cost=28.6736, ExpCost=31.7218.
Iter 353 : Cost=32.6869, ExpCost=31.7315.
Iter 354 : Cost=29.9805, ExpCost=31.7140.
Iter 355 : Cost=26.3337, ExpCost=31.6602.
Iter 356 : Cost=29.2960, ExpCost=31.6365.
Iter 357 : Cost=27.8991, ExpCost=31.5992.
Iter 358 : Cost=37.0875, ExpCost=31.6540.
Iter 359 : Cost=27.2724, ExpCost=31.6102.
Iter 360 : Cost=24.5962, ExpCost=31.5401.
Iter 361 : Cost=29.2459, ExpCost=31.5171.
Iter 362 : Cost=24.6304, ExpCost=31.4483.
Iter 363 : Cost=32.1469, ExpCost=31.4553.
Iter 364 : Cost=29.6429, ExpCost=31.4371.
Iter 365 : Cost=27.5597, ExpCost=31.3984.
Iter 366 : Cost=27.6829, ExpCost=31.3612.
Iter 367 : Cost=30.0065, ExpCost=31.3477.
Iter 368 : Cost=30.5878, ExpCost=31.3401.
Iter 369 : Cost=27.7504, ExpCost=31.3042.
Iter 370 : Cost=30.8924, ExpCost=31.3000.
Iter 371 : Cost=28.9364, ExpCost=31.2764.
Iter 372 : Cost=31.3966, ExpCost=31.2776.
Iter 373 : Cost=30.8585, ExpCost=31.2734.
Iter 374 : Cost=26.6603, ExpCost=31.2273.
Iter 375 : Cost=30.2058, ExpCost=31.2171.
Iter 376 : Cost=32.1908, ExpCost=31.2268.
Iter 377 : Cost=27.6421, ExpCost=31.1910.
Iter 378 : Cost=28.3036, ExpCost=31.1621.
Iter 379 : Cost=30.7259, ExpCost=31.1577.
Iter 380 : Cost=29.6480, ExpCost=31.1426.
Iter 381 : Cost=28.2737, ExpCost=31.1139.
Iter 382 : Cost=24.5719, ExpCost=31.0485.
Iter 383 : Cost=28.4798, ExpCost=31.0228.
Iter 384 : Cost=30.0760, ExpCost=31.0134.
Iter 385 : Cost=28.6037, ExpCost=30.9893.
Iter 386 : Cost=27.0975, ExpCost=30.9503.
Iter 387 : Cost=29.3864, ExpCost=30.9347.
Iter 388 : Cost=32.7091, ExpCost=30.9525.
Iter 389 : Cost=31.5211, ExpCost=30.9581.
Iter 390 : Cost=28.0189, ExpCost=30.9287.
Iter 391 : Cost=26.4081, ExpCost=30.8835.
Iter 392 : Cost=25.3221, ExpCost=30.8279.
Iter 393 : Cost=27.9816, ExpCost=30.7995.
Iter 394 : Cost=27.3339, ExpCost=30.7648.
Iter 395 : Cost=27.6364, ExpCost=30.7335.
Iter 396 : Cost=33.3135, ExpCost=30.7593.
Iter 397 : Cost=24.3363, ExpCost=30.6951.
Iter 398 : Cost=29.4600, ExpCost=30.6827.
Iter 399 : Cost=31.8438, ExpCost=30.6943.
Iter 400 : Cost=31.9789, ExpCost=30.7072.
Iter 401 : Cost=37.6773, ExpCost=30.7769.
Iter 402 : Cost=26.2488, ExpCost=30.7316.
Iter 403 : Cost=29.2061, ExpCost=30.7164.
Iter 404 : Cost=31.9479, ExpCost=30.7287.
Iter 405 : Cost=26.8221, ExpCost=30.6896.
Iter 406 : Cost=29.2894, ExpCost=30.6756.
Iter 407 : Cost=29.3508, ExpCost=30.6624.
Iter 408 : Cost=30.1624, ExpCost=30.6574.
Iter 409 : Cost=27.2873, ExpCost=30.6237.
Iter 410 : Cost=27.7547, ExpCost=30.5950.
Iter 411 : Cost=29.4471, ExpCost=30.5835.
Iter 412 : Cost=32.2221, ExpCost=30.5999.
Iter 413 : Cost=29.3718, ExpCost=30.5876.
Iter 414 : Cost=30.6323, ExpCost=30.5880.
Iter 415 : Cost=33.8256, ExpCost=30.6204.
Iter 416 : Cost=29.8319, ExpCost=30.6125.
Iter 417 : Cost=32.9265, ExpCost=30.6357.
Iter 418 : Cost=25.5391, ExpCost=30.5847.
Iter 419 : Cost=33.8148, ExpCost=30.6170.
Iter 420 : Cost=33.3931, ExpCost=30.6448.
Iter 421 : Cost=28.7307, ExpCost=30.6256.
Iter 422 : Cost=31.3546, ExpCost=30.6329.
Iter 423 : Cost=26.9889, ExpCost=30.5965.
Iter 424 : Cost=25.8115, ExpCost=30.5486.
Iter 425 : Cost=28.0500, ExpCost=30.5236.
Iter 426 : Cost=28.9299, ExpCost=30.5077.
Iter 427 : Cost=27.5812, ExpCost=30.4784.
Iter 428 : Cost=33.8492, ExpCost=30.5121.
Iter 429 : Cost=31.3262, ExpCost=30.5203.
Iter 430 : Cost=25.9603, ExpCost=30.4747.
Iter 431 : Cost=28.0308, ExpCost=30.4503.
Iter 432 : Cost=31.9757, ExpCost=30.4655.
Iter 433 : Cost=34.1569, ExpCost=30.5024.
Iter 434 : Cost=30.3436, ExpCost=30.5008.
Iter 435 : Cost=31.9996, ExpCost=30.5158.
Iter 436 : Cost=32.9640, ExpCost=30.5403.
Iter 437 : Cost=30.8154, ExpCost=30.5431.
Iter 438 : Cost=28.2184, ExpCost=30.5198.
Iter 439 : Cost=33.3004, ExpCost=30.5476.
Iter 440 : Cost=29.5865, ExpCost=30.5380.
Iter 441 : Cost=30.6280, ExpCost=30.5389.
Iter 442 : Cost=31.9014, ExpCost=30.5525.
Iter 443 : Cost=25.0797, ExpCost=30.4978.
Iter 444 : Cost=22.6216, ExpCost=30.4190.
Iter 445 : Cost=28.5582, ExpCost=30.4004.
Iter 446 : Cost=28.8877, ExpCost=30.3853.
Iter 447 : Cost=30.8563, ExpCost=30.3900.
Iter 448 : Cost=29.6115, ExpCost=30.3822.
Iter 449 : Cost=28.7587, ExpCost=30.3660.
Iter 450 : Cost=25.1342, ExpCost=30.3137.
Iter 451 : Cost=28.2101, ExpCost=30.2926.
Iter 452 : Cost=33.2765, ExpCost=30.3225.
Iter 453 : Cost=29.3484, ExpCost=30.3127.
Iter 454 : Cost=30.0572, ExpCost=30.3102.
Iter 455 : Cost=28.8482, ExpCost=30.2956.
Iter 456 : Cost=31.4801, ExpCost=30.3074.
Iter 457 : Cost=25.5891, ExpCost=30.2602.
Iter 458 : Cost=35.5606, ExpCost=30.3132.
Iter 459 : Cost=32.4094, ExpCost=30.3342.
Iter 460 : Cost=30.2091, ExpCost=30.3329.
Iter 461 : Cost=29.9515, ExpCost=30.3291.
Iter 462 : Cost=24.9132, ExpCost=30.2750.
Iter 463 : Cost=29.8210, ExpCost=30.2704.
Iter 464 : Cost=34.3815, ExpCost=30.3115.
Iter 465 : Cost=26.0424, ExpCost=30.2688.
Iter 466 : Cost=28.1985, ExpCost=30.2481.
Iter 467 : Cost=27.3110, ExpCost=30.2188.
Iter 468 : Cost=25.2353, ExpCost=30.1689.
Iter 469 : Cost=26.3584, ExpCost=30.1308.
Iter 470 : Cost=27.5917, ExpCost=30.1054.
Iter 471 : Cost=28.7986, ExpCost=30.0924.
Iter 472 : Cost=32.5702, ExpCost=30.1171.
Iter 473 : Cost=31.8824, ExpCost=30.1348.
Iter 474 : Cost=26.8446, ExpCost=30.1019.
Iter 475 : Cost=30.3890, ExpCost=30.1048.
Iter 476 : Cost=28.5029, ExpCost=30.0887.
Iter 477 : Cost=26.8752, ExpCost=30.0566.
