models/RNTN_wvecDim_30_step_10e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 294 : Cost=20.4204, ExpCost=21.8767.
Iter 295 : Cost=20.0147, ExpCost=21.8580.
Iter 296 : Cost=18.6377, ExpCost=21.8258.
Iter 297 : Cost=18.2802, ExpCost=21.7904.
Iter 298 : Cost=16.0627, ExpCost=21.7331.
Iter 299 : Cost=18.0628, ExpCost=21.6964.
Iter 300 : Cost=18.1715, ExpCost=21.6612.
Iter 301 : Cost=19.4627, ExpCost=21.6392.
Iter 302 : Cost=20.9101, ExpCost=21.6319.
Iter 303 : Cost=21.0523, ExpCost=21.6261.
Iter 304 : Cost=20.9095, ExpCost=21.6189.
Iter 305 : Cost=21.6380, ExpCost=21.6191.
Iter 306 : Cost=22.9361, ExpCost=21.6323.
Iter 307 : Cost=20.9209, ExpCost=21.6252.
Iter 308 : Cost=21.8773, ExpCost=21.6277.
Iter 309 : Cost=20.0330, ExpCost=21.6117.
Iter 310 : Cost=17.2286, ExpCost=21.5679.
Iter 311 : Cost=21.5161, ExpCost=21.5674.
Iter 312 : Cost=19.0446, ExpCost=21.5422.
Iter 313 : Cost=18.5271, ExpCost=21.5120.
Iter 314 : Cost=22.8055, ExpCost=21.5249.
Iter 315 : Cost=22.8898, ExpCost=21.5386.
Iter 316 : Cost=22.3070, ExpCost=21.5463.
Iter 317 : Cost=18.6763, ExpCost=21.5176.
Iter 318 : Cost=21.9877, ExpCost=21.5223.
Iter 319 : Cost=22.0247, ExpCost=21.5273.
Iter 320 : Cost=24.8898, ExpCost=21.5609.
Iter 321 : Cost=26.8909, ExpCost=21.6142.
Iter 322 : Cost=22.4142, ExpCost=21.6222.
Iter 323 : Cost=22.2548, ExpCost=21.6286.
Iter 324 : Cost=21.3083, ExpCost=21.6254.
Iter 325 : Cost=19.2007, ExpCost=21.6011.
Iter 326 : Cost=16.3197, ExpCost=21.5483.
Iter 327 : Cost=19.6238, ExpCost=21.5290.
Iter 328 : Cost=26.1333, ExpCost=21.5751.
Iter 329 : Cost=21.4974, ExpCost=21.5743.
Iter 330 : Cost=24.3547, ExpCost=21.6021.
Iter 331 : Cost=22.8062, ExpCost=21.6142.
Iter 332 : Cost=19.7122, ExpCost=21.5951.
Iter 333 : Cost=22.8133, ExpCost=21.6073.
Iter 334 : Cost=20.4906, ExpCost=21.5962.
Iter 335 : Cost=16.3555, ExpCost=21.5437.
Iter 336 : Cost=22.5443, ExpCost=21.5538.
Iter 337 : Cost=17.5600, ExpCost=21.5138.
Iter 338 : Cost=21.6848, ExpCost=21.5155.
Iter 339 : Cost=20.8165, ExpCost=21.5085.
Iter 340 : Cost=23.8109, ExpCost=21.5316.
Iter 341 : Cost=23.0549, ExpCost=21.5468.
Iter 342 : Cost=19.3747, ExpCost=21.5251.
Iter 343 : Cost=20.8983, ExpCost=21.5188.
Iter 344 : Cost=19.7360, ExpCost=21.5010.
Iter 345 : Cost=21.0091, ExpCost=21.4961.
Iter 346 : Cost=20.4286, ExpCost=21.4854.
Iter 347 : Cost=19.0284, ExpCost=21.4608.
Iter 348 : Cost=19.8805, ExpCost=21.4450.
Iter 349 : Cost=20.0766, ExpCost=21.4313.
Iter 350 : Cost=25.2075, ExpCost=21.4691.
Iter 351 : Cost=22.4514, ExpCost=21.4789.
Iter 352 : Cost=21.5066, ExpCost=21.4792.
Iter 353 : Cost=21.1590, ExpCost=21.4760.
Iter 354 : Cost=21.2978, ExpCost=21.4742.
Iter 355 : Cost=22.5768, ExpCost=21.4852.
Iter 356 : Cost=25.0116, ExpCost=21.5205.
Iter 357 : Cost=19.7081, ExpCost=21.5024.
Iter 358 : Cost=26.3518, ExpCost=21.5509.
Iter 359 : Cost=19.0878, ExpCost=21.5262.
Iter 360 : Cost=19.8764, ExpCost=21.5097.
Iter 361 : Cost=25.2766, ExpCost=21.5474.
Iter 362 : Cost=21.9691, ExpCost=21.5516.
Iter 363 : Cost=20.9387, ExpCost=21.5455.
Iter 364 : Cost=23.7163, ExpCost=21.5672.
Iter 365 : Cost=20.6633, ExpCost=21.5582.
Iter 366 : Cost=19.8598, ExpCost=21.5412.
Iter 367 : Cost=18.6776, ExpCost=21.5125.
Iter 368 : Cost=21.8344, ExpCost=21.5158.
Iter 369 : Cost=19.7173, ExpCost=21.4978.
Iter 370 : Cost=20.4572, ExpCost=21.4874.
Iter 371 : Cost=21.4363, ExpCost=21.4869.
Iter 372 : Cost=20.5291, ExpCost=21.4773.
Iter 373 : Cost=19.5323, ExpCost=21.4578.
Iter 374 : Cost=21.3237, ExpCost=21.4565.
Iter 375 : Cost=20.0841, ExpCost=21.4428.
Iter 376 : Cost=23.8550, ExpCost=21.4669.
Iter 377 : Cost=18.8011, ExpCost=21.4402.
Iter 378 : Cost=23.9545, ExpCost=21.4654.
Iter 379 : Cost=21.3663, ExpCost=21.4644.
Iter 380 : Cost=18.7982, ExpCost=21.4377.
Iter 381 : Cost=17.6994, ExpCost=21.4003.
Iter 382 : Cost=18.6427, ExpCost=21.3728.
Iter 383 : Cost=20.8998, ExpCost=21.3680.
Iter 384 : Cost=20.2771, ExpCost=21.3571.
Iter 385 : Cost=23.2250, ExpCost=21.3758.
Iter 386 : Cost=18.3740, ExpCost=21.3458.
Iter 387 : Cost=20.0624, ExpCost=21.3329.
Iter 388 : Cost=16.8923, ExpCost=21.2885.
Iter 389 : Cost=19.1846, ExpCost=21.2675.
Iter 390 : Cost=19.4651, ExpCost=21.2495.
Iter 391 : Cost=18.6978, ExpCost=21.2240.
Iter 392 : Cost=20.9740, ExpCost=21.2215.
Iter 393 : Cost=19.4124, ExpCost=21.2034.
Iter 394 : Cost=20.0273, ExpCost=21.1916.
Iter 395 : Cost=21.1411, ExpCost=21.1911.
Iter 396 : Cost=22.9271, ExpCost=21.2085.
Iter 397 : Cost=21.4014, ExpCost=21.2104.
Iter 398 : Cost=21.9411, ExpCost=21.2177.
Iter 399 : Cost=21.4175, ExpCost=21.2197.
Iter 400 : Cost=21.3187, ExpCost=21.2207.
Iter 401 : Cost=20.4254, ExpCost=21.2127.
Iter 402 : Cost=21.5392, ExpCost=21.2160.
Iter 403 : Cost=21.0907, ExpCost=21.2147.
Iter 404 : Cost=20.5263, ExpCost=21.2079.
Iter 405 : Cost=19.9853, ExpCost=21.1956.
Iter 406 : Cost=18.2746, ExpCost=21.1664.
Iter 407 : Cost=22.0837, ExpCost=21.1756.
Iter 408 : Cost=20.5810, ExpCost=21.1697.
Iter 409 : Cost=23.6391, ExpCost=21.1943.
Iter 410 : Cost=19.9039, ExpCost=21.1814.
Iter 411 : Cost=23.2117, ExpCost=21.2017.
Iter 412 : Cost=18.7533, ExpCost=21.1773.
Iter 413 : Cost=21.4682, ExpCost=21.1802.
Iter 414 : Cost=21.4710, ExpCost=21.1831.
Iter 415 : Cost=23.5117, ExpCost=21.2064.
Iter 416 : Cost=22.1131, ExpCost=21.2154.
Iter 417 : Cost=16.8151, ExpCost=21.1714.
Iter 418 : Cost=23.9599, ExpCost=21.1993.
Iter 419 : Cost=23.2643, ExpCost=21.2200.
Iter 420 : Cost=18.5862, ExpCost=21.1936.
Iter 421 : Cost=22.1364, ExpCost=21.2031.
Iter 422 : Cost=17.7657, ExpCost=21.1687.
Iter 423 : Cost=20.7854, ExpCost=21.1648.
Iter 424 : Cost=15.9649, ExpCost=21.1128.
Iter 425 : Cost=21.8149, ExpCost=21.1199.
Iter 426 : Cost=23.5659, ExpCost=21.1443.
Iter 427 : Cost=19.2929, ExpCost=21.1258.
Iter 428 : Cost=21.4053, ExpCost=21.1286.
Iter 429 : Cost=21.5750, ExpCost=21.1331.
Iter 430 : Cost=19.6466, ExpCost=21.1182.
Iter 431 : Cost=19.5058, ExpCost=21.1021.
Iter 432 : Cost=24.0985, ExpCost=21.1320.
Iter 433 : Cost=18.4631, ExpCost=21.1054.
